,N of colex,Recall,Model
451,100,0.16918844566712518,Subfamily+Prob
452,100,0.17739628040057226,Subfamily+Prob
453,100,0.22752808988764045,Subfamily+Prob
454,100,0.2026431718061674,Subfamily+Prob
455,100,0.1824712643678161,Subfamily+Prob
456,100,0.16666666666666666,Subfamily+Prob
457,100,0.16805555555555557,Subfamily+Prob
458,100,0.18820224719101122,Subfamily+Prob
459,100,0.18168812589413447,Subfamily+Prob
460,100,0.192090395480226,Subfamily+Prob
461,100,0.16165951359084407,Subfamily+Prob
462,100,0.16855524079320114,Subfamily+Prob
463,100,0.17956204379562044,Subfamily+Prob
464,100,0.16142270861833105,Subfamily+Prob
465,100,0.17086834733893558,Subfamily+Prob
466,100,0.16212338593974174,Subfamily+Prob
467,100,0.18621700879765396,Subfamily+Prob
468,100,0.17647058823529413,Subfamily+Prob
469,100,0.19079837618403248,Subfamily+Prob
470,100,0.16789396170839468,Subfamily+Prob
471,100,0.1678520625889047,Subfamily+Prob
472,100,0.17621776504297995,Subfamily+Prob
473,100,0.18723994452149792,Subfamily+Prob
474,100,0.17032967032967034,Subfamily+Prob
475,100,0.18758815232722145,Subfamily+Prob
476,100,0.15937940761636107,Subfamily+Prob
477,100,0.16462585034013605,Subfamily+Prob
478,100,0.1925925925925926,Subfamily+Prob
479,100,0.18830242510699002,Subfamily+Prob
480,100,0.17167381974248927,Subfamily+Prob
481,100,0.14444444444444443,Subfamily+Prob
482,100,0.1839080459770115,Subfamily+Prob
483,100,0.20516499282639886,Subfamily+Prob
484,100,0.16736401673640167,Subfamily+Prob
485,100,0.19113573407202217,Subfamily+Prob
486,100,0.1798063623789765,Subfamily+Prob
487,100,0.16106442577030813,Subfamily+Prob
488,100,0.20086705202312138,Subfamily+Prob
489,100,0.15634218289085547,Subfamily+Prob
490,100,0.19047619047619047,Subfamily+Prob
491,100,0.18731117824773413,Subfamily+Prob
492,100,0.18559556786703602,Subfamily+Prob
493,100,0.13531799729364005,Subfamily+Prob
494,100,0.14305750350631136,Subfamily+Prob
495,100,0.18194640338504936,Subfamily+Prob
496,100,0.1888111888111888,Subfamily+Prob
497,100,0.17024320457796852,Subfamily+Prob
498,100,0.18876080691642652,Subfamily+Prob
499,100,0.17696629213483145,Subfamily+Prob
500,100,0.6434316353887399,NPM+Family+Subfamily
501,100,0.6661870503597123,NPM+Family+Subfamily
502,100,0.7147102526002972,NPM+Family+Subfamily
503,100,0.6639892904953146,NPM+Family+Subfamily
504,100,0.6541916167664671,NPM+Family+Subfamily
505,100,0.6794326241134752,NPM+Family+Subfamily
506,100,0.6168478260869565,NPM+Family+Subfamily
507,100,0.6522366522366523,NPM+Family+Subfamily
508,100,0.7029411764705882,NPM+Family+Subfamily
509,100,0.6923076923076923,NPM+Family+Subfamily
510,100,0.6526458616010855,NPM+Family+Subfamily
511,100,0.6235294117647059,NPM+Family+Subfamily
512,100,0.6596931659693166,NPM+Family+Subfamily
513,100,0.7039187227866474,NPM+Family+Subfamily
514,100,0.7138810198300283,NPM+Family+Subfamily
515,100,0.7231638418079096,NPM+Family+Subfamily
516,100,0.6695402298850575,NPM+Family+Subfamily
517,100,0.6803977272727273,NPM+Family+Subfamily
518,100,0.6251788268955651,NPM+Family+Subfamily
519,100,0.682825484764543,NPM+Family+Subfamily
520,100,0.6797752808988764,NPM+Family+Subfamily
521,100,0.6487603305785123,NPM+Family+Subfamily
522,100,0.6695156695156695,NPM+Family+Subfamily
523,100,0.6680672268907563,NPM+Family+Subfamily
524,100,0.7051851851851851,NPM+Family+Subfamily
525,100,0.6961483594864479,NPM+Family+Subfamily
526,100,0.6539473684210526,NPM+Family+Subfamily
527,100,0.6355810616929699,NPM+Family+Subfamily
528,100,0.702247191011236,NPM+Family+Subfamily
529,100,0.6722306525037937,NPM+Family+Subfamily
530,100,0.6947218259629101,NPM+Family+Subfamily
531,100,0.6550279329608939,NPM+Family+Subfamily
532,100,0.6859154929577465,NPM+Family+Subfamily
533,100,0.6599713055954088,NPM+Family+Subfamily
534,100,0.6794326241134752,NPM+Family+Subfamily
535,100,0.6524725274725275,NPM+Family+Subfamily
536,100,0.7183499288762447,NPM+Family+Subfamily
537,100,0.6504297994269341,NPM+Family+Subfamily
538,100,0.6877697841726619,NPM+Family+Subfamily
539,100,0.6609929078014184,NPM+Family+Subfamily
540,100,0.6690962099125365,NPM+Family+Subfamily
541,100,0.7219858156028369,NPM+Family+Subfamily
542,100,0.6031518624641834,NPM+Family+Subfamily
543,100,0.6923076923076923,NPM+Family+Subfamily
544,100,0.6573033707865169,NPM+Family+Subfamily
545,100,0.7155425219941349,NPM+Family+Subfamily
546,100,0.6920821114369502,NPM+Family+Subfamily
547,100,0.6775106082036775,NPM+Family+Subfamily
548,100,0.6643356643356644,NPM+Family+Subfamily
549,100,0.6325706594885598,NPM+Family+Subfamily
550,100,0.6217765042979942,NPM+Family+Prob
551,100,0.652050919377652,NPM+Family+Prob
552,100,0.607764390896921,NPM+Family+Prob
553,100,0.6123919308357348,NPM+Family+Prob
554,100,0.6178623718887262,NPM+Family+Prob
555,100,0.6304985337243402,NPM+Family+Prob
556,100,0.6270676691729323,NPM+Family+Prob
557,100,0.6195804195804195,NPM+Family+Prob
558,100,0.6304945054945055,NPM+Family+Prob
559,100,0.6197564276048715,NPM+Family+Prob
560,100,0.6546762589928058,NPM+Family+Prob
561,100,0.6147426981919333,NPM+Family+Prob
562,100,0.5885558583106267,NPM+Family+Prob
563,100,0.6274238227146814,NPM+Family+Prob
564,100,0.6661608497723824,NPM+Family+Prob
565,100,0.6091794158553546,NPM+Family+Prob
566,100,0.637410071942446,NPM+Family+Prob
567,100,0.6283185840707964,NPM+Family+Prob
568,100,0.6532258064516129,NPM+Family+Prob
569,100,0.6204906204906205,NPM+Family+Prob
570,100,0.6082036775106082,NPM+Family+Prob
571,100,0.6711915535444947,NPM+Family+Prob
572,100,0.6109660574412533,NPM+Family+Prob
573,100,0.6330935251798561,NPM+Family+Prob
574,100,0.6160458452722063,NPM+Family+Prob
575,100,0.6237482117310443,NPM+Family+Prob
576,100,0.6386430678466076,NPM+Family+Prob
577,100,0.6163265306122448,NPM+Family+Prob
578,100,0.6274238227146814,NPM+Family+Prob
579,100,0.6129496402877698,NPM+Family+Prob
580,100,0.6172839506172839,NPM+Family+Prob
581,100,0.648493543758967,NPM+Family+Prob
582,100,0.6264367816091954,NPM+Family+Prob
583,100,0.6041379310344828,NPM+Family+Prob
584,100,0.6715542521994134,NPM+Family+Prob
585,100,0.6382393397524071,NPM+Family+Prob
586,100,0.6115819209039548,NPM+Family+Prob
587,100,0.5914718019257221,NPM+Family+Prob
588,100,0.6407624633431085,NPM+Family+Prob
589,100,0.635036496350365,NPM+Family+Prob
590,100,0.6175637393767706,NPM+Family+Prob
591,100,0.6260744985673352,NPM+Family+Prob
592,100,0.651925820256776,NPM+Family+Prob
593,100,0.6181818181818182,NPM+Family+Prob
594,100,0.6050775740479548,NPM+Family+Prob
595,100,0.6206415620641562,NPM+Family+Prob
596,100,0.5834502103786816,NPM+Family+Prob
597,100,0.6685796269727403,NPM+Family+Prob
598,100,0.634453781512605,NPM+Family+Prob
599,100,0.6380813953488372,NPM+Family+Prob
600,100,0.6609442060085837,NPM+Subfamily+Prob
601,100,0.6882022471910112,NPM+Subfamily+Prob
602,100,0.6326219512195121,NPM+Subfamily+Prob
603,100,0.6774193548387096,NPM+Subfamily+Prob
604,100,0.6545961002785515,NPM+Subfamily+Prob
605,100,0.6459537572254336,NPM+Subfamily+Prob
606,100,0.6626016260162602,NPM+Subfamily+Prob
607,100,0.6591549295774648,NPM+Subfamily+Prob
608,100,0.6609929078014184,NPM+Subfamily+Prob
609,100,0.6535087719298246,NPM+Subfamily+Prob
610,100,0.6210235131396957,NPM+Subfamily+Prob
611,100,0.639300134589502,NPM+Subfamily+Prob
612,100,0.6260744985673352,NPM+Subfamily+Prob
613,100,0.6746478873239437,NPM+Subfamily+Prob
614,100,0.7465648854961832,NPM+Subfamily+Prob
615,100,0.644718792866941,NPM+Subfamily+Prob
616,100,0.6779661016949152,NPM+Subfamily+Prob
617,100,0.6322008862629247,NPM+Subfamily+Prob
618,100,0.717391304347826,NPM+Subfamily+Prob
619,100,0.6413793103448275,NPM+Subfamily+Prob
620,100,0.6272108843537415,NPM+Subfamily+Prob
621,100,0.6578947368421053,NPM+Subfamily+Prob
622,100,0.6586402266288952,NPM+Subfamily+Prob
623,100,0.6509298998569385,NPM+Subfamily+Prob
624,100,0.6821589205397302,NPM+Subfamily+Prob
625,100,0.6623748211731044,NPM+Subfamily+Prob
626,100,0.6372413793103449,NPM+Subfamily+Prob
627,100,0.6888260254596889,NPM+Subfamily+Prob
628,100,0.6854256854256854,NPM+Subfamily+Prob
629,100,0.6737588652482269,NPM+Subfamily+Prob
630,100,0.6988472622478387,NPM+Subfamily+Prob
631,100,0.6415384615384615,NPM+Subfamily+Prob
632,100,0.6212938005390836,NPM+Subfamily+Prob
633,100,0.6517615176151762,NPM+Subfamily+Prob
634,100,0.6865248226950355,NPM+Subfamily+Prob
635,100,0.6717877094972067,NPM+Subfamily+Prob
636,100,0.6620498614958449,NPM+Subfamily+Prob
637,100,0.6589259796806967,NPM+Subfamily+Prob
638,100,0.6141843971631206,NPM+Subfamily+Prob
639,100,0.6800573888091822,NPM+Subfamily+Prob
640,100,0.6545454545454545,NPM+Subfamily+Prob
641,100,0.6897546897546898,NPM+Subfamily+Prob
642,100,0.6518624641833811,NPM+Subfamily+Prob
643,100,0.6396648044692738,NPM+Subfamily+Prob
644,100,0.6463932107496464,NPM+Subfamily+Prob
645,100,0.6613138686131387,NPM+Subfamily+Prob
646,100,0.6661971830985915,NPM+Subfamily+Prob
647,100,0.6633802816901408,NPM+Subfamily+Prob
648,100,0.6442857142857142,NPM+Subfamily+Prob
649,100,0.6450276243093923,NPM+Subfamily+Prob
650,100,0.18649045521292218,Family+Subfamily+Prob
651,100,0.19918144611186903,Family+Subfamily+Prob
